timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
33416,0.00,0.01,0.89,-21.36,5.19,3.30
33424,-0.07,0.03,0.77,-201.11,-75.26,-5.86
33436,0.01,-0.01,0.96,147.71,56.27,8.61
33445,-0.00,0.01,0.97,4.88,2.08,-0.43
33453,-0.00,0.01,0.97,-12.94,-3.78,-1.10
33462,-0.00,0.01,0.97,-2.14,-0.06,-0.12
33471,-0.00,0.01,0.96,-0.24,0.61,-0.06
33480,-0.00,0.01,0.96,0.00,0.79,0.00
33488,-0.00,0.01,0.98,0.24,0.67,-0.12
33497,-0.00,0.01,0.98,0.18,0.79,-0.12
33506,-0.00,0.01,0.96,0.24,0.85,-0.24
33514,-0.00,0.01,0.96,0.31,0.85,-0.18
33523,-0.00,0.01,0.98,0.24,0.92,-0.06
33532,-0.00,0.01,0.98,0.00,0.98,-0.06
33541,-0.00,0.01,0.97,0.31,0.98,0.00
33549,-0.00,0.01,0.96,0.55,0.73,-0.18
33558,-0.00,0.01,0.98,0.06,0.92,-0.18
33567,-0.00,0.01,0.98,0.06,0.79,0.00
33575,-0.00,0.01,0.97,-0.12,0.73,-0.12
33584,-0.00,0.01,0.96,-0.06,0.73,-0.18
33592,-0.00,0.01,0.97,0.24,0.92,-0.18
33601,-0.00,0.01,0.97,0.06,0.79,-0.24
33610,-0.00,0.01,0.97,0.06,0.79,-0.12
33619,-0.00,0.01,0.96,0.31,0.92,-0.18
33627,-0.00,0.01,0.97,0.06,0.73,-0.18
33636,-0.00,0.01,0.97,0.06,0.98,-0.18
33645,-0.00,0.01,0.97,0.31,0.85,-0.18
33653,-0.00,0.01,0.97,0.00,0.73,-0.18
33662,-0.00,0.01,0.97,-0.06,0.73,-0.18
33671,-0.00,0.01,0.97,0.06,0.79,0.00
33679,-0.00,0.01,0.97,0.00,0.79,0.00
33688,-0.00,0.01,0.97,0.06,0.67,-0.18
33697,-0.00,0.01,0.97,0.12,0.79,-0.31
33706,-0.00,0.01,0.97,0.12,1.10,-0.12
33714,-0.00,0.01,0.97,0.12,0.85,-0.18
33723,-0.00,0.01,0.97,0.12,0.73,-0.12
33732,-0.00,0.01,0.97,0.00,0.92,-0.24
33740,-0.00,0.01,0.97,0.12,0.73,-0.24
33749,-0.00,0.01,0.97,0.24,0.79,-0.12
33758,-0.00,0.01,0.97,0.18,0.79,-0.18
33766,-0.00,0.01,0.97,0.24,0.85,-0.31
33775,-0.00,0.01,0.97,0.37,0.73,-0.24
33784,-0.00,0.01,0.97,0.06,0.79,-0.12
33792,-0.00,0.01,0.97,0.12,0.85,-0.18
33801,-0.00,0.01,0.97,0.00,0.73,-0.06
33810,-0.00,0.01,0.97,0.00,0.67,-0.18
33819,-0.00,0.01,0.97,0.18,0.67,-0.31
33827,-0.00,0.01,0.97,0.12,0.73,-0.31
33836,-0.00,0.01,0.97,0.06,0.73,-0.24
33845,-0.00,0.01,0.97,-0.18,0.92,-0.24
33853,-0.00,0.01,0.97,0.12,0.85,-0.12
33862,-0.00,0.01,0.97,0.24,0.92,-0.18
33871,-0.00,0.01,0.97,0.00,0.92,-0.24
33879,-0.00,0.01,0.97,0.24,0.73,-0.24
33888,-0.00,0.01,0.97,0.00,0.61,-0.18
33897,-0.00,0.01,0.97,0.12,0.55,-0.24
33906,-0.00,0.01,0.97,0.18,0.85,-0.31
33914,-0.00,0.01,0.97,0.12,0.79,-0.31
33923,-0.00,0.01,0.97,0.06,0.73,-0.24
33932,-0.00,0.01,0.97,0.00,0.73,-0.12
33940,-0.00,0.01,0.97,-0.06,0.73,-0.12
33949,-0.00,0.01,0.97,0.18,0.79,-0.12
