timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
324675,-0.00,0.01,0.99,-0.12,0.79,0.06
324684,-0.00,0.01,0.98,0.06,0.67,-0.12
324692,-0.00,0.01,0.99,-0.18,0.49,-0.18
324701,0.00,0.01,0.99,0.06,0.61,-0.18
324710,-0.01,0.01,0.98,-0.06,0.85,-0.12
324719,-0.00,0.01,0.98,-0.18,0.73,-0.12
324728,-0.00,0.01,0.98,-0.31,0.67,-0.12
324736,-0.00,0.01,0.98,-0.24,0.73,-0.18
324745,-0.00,0.01,0.98,-0.06,0.67,-0.12
324754,-0.00,0.01,0.99,-0.06,0.85,-0.12
324762,-0.00,0.01,0.99,-0.24,0.73,0.00
324771,-0.00,0.01,0.99,-0.06,0.73,-0.12
324779,-0.01,0.01,0.98,0.00,0.73,-0.12
324788,-0.00,0.01,0.99,0.00,0.85,0.06
324797,-0.00,0.01,0.99,0.00,0.85,-0.06
324806,-0.00,0.01,0.98,-0.06,0.85,-0.12
324814,-0.00,0.01,0.98,0.00,0.85,-0.18
324823,-0.00,0.01,0.98,0.12,0.79,-0.12
324832,-0.00,0.01,0.99,-0.18,0.85,-0.24
324840,-0.01,0.01,0.99,-0.12,0.92,-0.12
324849,-0.00,0.01,0.99,0.00,0.92,-0.12
324857,-0.00,0.01,0.99,0.18,0.67,-0.24
324866,-0.00,0.01,0.99,0.06,0.61,-0.12
324875,-0.00,0.01,0.98,0.24,0.67,-0.06
324884,-0.00,0.01,0.98,0.00,0.79,0.00
324892,-0.00,0.01,0.98,-0.06,0.79,-0.12
324901,-0.00,0.01,0.99,0.18,0.85,-0.06
324910,-0.00,0.01,0.99,-0.18,0.61,-0.12
324919,-0.00,0.01,0.99,0.00,0.73,-0.12
324927,-0.00,0.01,0.98,0.06,0.67,-0.18
324936,-0.00,0.01,0.98,0.12,0.79,-0.18
324945,-0.00,0.01,0.98,0.12,0.67,-0.12
324953,-0.00,0.01,0.99,0.12,0.67,-0.18
324962,-0.00,0.01,0.98,0.18,0.73,-0.06
324971,-0.00,0.01,0.98,-0.06,0.79,-0.12
324979,-0.00,0.01,0.99,0.18,0.73,-0.24
324988,-0.00,0.01,0.99,0.12,0.67,-0.24
324997,-0.00,0.01,0.99,0.24,0.79,0.00
325005,-0.00,0.01,0.98,0.18,0.55,-0.06
325014,-0.00,0.01,0.98,0.00,0.61,-0.18
325023,-0.00,0.01,0.98,-0.18,0.79,-0.18
325031,-0.00,0.01,0.98,0.18,0.55,0.00
325040,-0.00,0.01,0.98,0.12,0.67,-0.12
325049,-0.00,0.01,0.98,0.31,0.79,0.00
325057,-0.00,0.01,0.98,-0.06,0.67,-0.18
325066,-0.00,0.01,0.98,0.00,0.55,-0.18
325075,-0.00,0.01,0.99,0.00,0.85,-0.06
325083,-0.00,0.01,0.99,-0.12,0.67,0.00
325092,-0.00,0.01,0.98,0.00,0.73,-0.12
325101,-0.00,0.01,0.98,0.18,0.79,-0.18
325109,-0.00,0.01,0.98,-0.06,0.73,-0.06
325119,-0.00,0.01,0.98,0.12,0.55,0.06
325127,-0.00,0.01,0.98,0.06,0.73,-0.06
325136,-0.00,0.01,0.98,-0.12,0.67,-0.12
325144,-0.00,0.01,0.98,0.00,0.67,-0.06
325153,-0.00,0.01,0.98,0.06,0.85,0.06
325162,-0.00,0.01,0.98,-0.12,0.85,0.00
325170,-0.00,0.01,0.99,-0.06,0.98,-0.06
325179,-0.00,0.01,0.99,-0.12,0.73,-0.06
325188,-0.00,0.01,0.98,0.00,0.79,-0.06
325196,-0.00,0.01,0.98,0.12,0.73,-0.12
325205,-0.00,0.01,0.98,-0.12,0.67,-0.06
325214,-0.00,0.01,0.98,0.06,0.79,-0.12
325222,-0.00,0.01,0.98,0.00,0.73,-0.06
325231,-0.00,0.01,0.98,-0.24,0.55,-0.12
325240,-0.00,0.01,0.99,-0.06,0.67,-0.06
325249,-0.00,0.01,0.99,0.12,0.79,-0.06
325257,-0.00,0.01,0.98,-0.12,0.85,-0.06
325266,-0.00,0.01,0.98,0.00,0.67,0.06
325275,-0.00,0.01,0.99,0.00,0.73,0.00
325283,-0.00,0.01,0.98,0.00,0.55,0.00
325292,-0.00,0.01,0.98,-0.06,0.55,-0.06
325301,-0.00,0.01,0.98,-0.06,0.85,-0.06
325309,-0.00,0.01,0.99,-0.12,0.85,-0.18
325318,-0.00,0.01,0.98,-0.12,0.67,-0.18
325327,-0.00,0.01,0.98,-0.18,0.73,-0.06
325335,-0.00,0.01,0.99,-0.12,0.61,-0.12
325344,-0.00,0.01,0.99,-0.12,0.73,-0.06
325353,-0.00,0.01,0.98,0.06,0.73,-0.06
325361,-0.00,0.01,0.98,-0.06,0.67,-0.12
325370,-0.00,0.01,0.99,-0.37,0.61,-0.06
325379,-0.00,0.01,0.99,-0.12,0.61,0.00
325388,-0.00,0.01,0.98,0.00,0.67,-0.06
325396,-0.00,0.01,0.98,0.06,0.67,-0.06
325405,-0.00,0.01,0.99,-0.12,0.67,-0.18
325414,-0.00,0.01,0.99,-0.12,0.79,0.00
325422,-0.00,0.01,0.99,-0.31,0.67,-0.12
325431,-0.00,0.01,0.99,-0.24,0.61,-0.24
325440,-0.00,0.01,0.98,-0.06,0.49,0.06
325448,-0.00,0.01,0.99,-0.12,0.67,0.00
325457,-0.00,0.01,0.98,-0.37,0.67,-0.24
325466,-0.00,0.01,0.98,-0.12,0.79,-0.18
325475,-0.00,0.01,0.98,-0.24,0.85,-0.12
325483,-0.00,0.01,0.99,-0.12,0.73,-0.12
325492,-0.00,0.01,0.98,0.12,0.79,-0.06
325501,-0.00,0.01,0.99,0.00,0.67,-0.18
325509,-0.00,0.01,0.98,-0.24,0.67,-0.06
325518,-0.00,0.01,0.99,-0.31,0.67,0.00
325526,-0.00,0.01,0.99,-0.12,0.61,-0.12
325536,-0.00,0.01,0.98,-0.12,0.67,-0.24
325544,-0.00,0.01,0.99,0.12,0.98,-0.06
325553,-0.00,0.01,0.99,-0.06,0.73,0.06
325562,-0.00,0.01,0.99,-0.24,0.61,-0.06
325570,-0.00,0.01,0.99,-0.06,0.61,-0.18
325579,-0.00,0.01,0.99,0.00,0.61,-0.24
325587,-0.00,0.01,0.99,-0.12,0.67,-0.18
325596,-0.00,0.01,0.98,-0.06,0.79,-0.12
325605,-0.00,0.01,0.99,-0.24,0.79,0.06
325614,-0.00,0.01,0.99,-0.31,0.67,-0.06
325622,-0.00,0.01,0.99,-0.24,0.61,-0.12
325631,-0.00,0.01,0.99,-0.12,0.67,-0.12
325639,-0.00,0.01,0.99,0.06,0.79,-0.06
325648,-0.00,0.01,0.99,-0.06,0.79,-0.06
