timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
14316,0.01,-0.01,0.90,-21.36,5.37,2.87
14324,-0.02,-0.00,0.96,-187.99,-70.19,-4.09
14336,0.02,-0.02,0.96,100.77,38.57,4.94
14345,0.00,-0.01,0.98,-5.80,-1.71,-1.77
14354,0.00,-0.01,0.98,-13.98,-3.78,-1.53
14362,0.00,-0.01,0.97,-2.93,-0.12,-0.55
14371,0.01,-0.01,0.97,-0.67,0.49,-0.31
14380,0.00,-0.01,0.97,-0.18,0.67,-0.24
14389,0.00,-0.01,0.97,-0.31,0.73,-0.31
14397,0.00,-0.01,0.97,-0.43,0.67,-0.31
14406,0.00,-0.01,0.97,-0.43,0.67,-0.37
14414,0.00,-0.01,0.97,-0.31,0.61,-0.37
14423,0.00,-0.01,0.97,-0.12,0.73,-0.31
14432,0.00,-0.01,0.97,-0.18,0.67,-0.24
14441,0.00,-0.01,0.97,-0.31,0.79,-0.43
14449,0.00,-0.01,0.97,-0.43,0.67,-0.31
14458,0.00,-0.01,0.97,-0.31,0.85,-0.55
14467,0.00,-0.01,0.97,-0.12,0.79,-0.43
14475,0.00,-0.01,0.97,-0.24,0.85,-0.31
14484,0.00,-0.01,0.97,-0.61,0.67,-0.31
14493,0.00,-0.01,0.97,-0.55,0.43,-0.37
14501,0.01,-0.01,0.97,-0.31,0.67,-0.43
14510,0.01,-0.01,0.97,-0.31,0.61,-0.49
14518,0.00,-0.01,0.97,-0.43,0.92,-0.37
14527,0.00,-0.01,0.97,-0.31,0.73,-0.18
14536,0.00,-0.01,0.97,-0.31,0.61,-0.37
14545,0.00,-0.01,0.97,-0.18,0.67,-0.61
14553,0.00,-0.01,0.97,-0.31,0.73,-0.55
14562,0.00,-0.01,0.97,-0.49,0.67,-0.49
14571,0.00,-0.01,0.97,-0.37,0.79,-0.24
14580,0.00,-0.01,0.97,-0.24,0.98,-0.24
14588,0.00,-0.00,0.97,-0.18,0.67,-0.24
14597,0.00,-0.01,0.97,-0.24,0.67,-0.24
14605,0.00,-0.01,0.97,-0.24,0.79,-0.18
14614,0.00,-0.00,0.97,-0.12,0.79,-0.43
14623,0.00,-0.01,0.97,-0.12,0.79,-0.43
14632,0.01,-0.00,0.97,-0.18,0.61,-0.43
14641,0.00,-0.00,0.97,-0.43,0.67,-0.55
14649,0.00,-0.01,0.97,-0.43,0.79,-0.55
14658,0.00,-0.01,0.97,-0.37,0.67,-0.49
14667,0.00,-0.01,0.97,-0.12,0.67,-0.37
14675,0.00,-0.01,0.97,-0.24,0.79,-0.24
14684,0.01,-0.01,0.97,-0.24,0.92,-0.37
14693,0.00,-0.00,0.97,-0.37,0.85,-0.24
14701,0.00,-0.01,0.97,-0.43,0.67,-0.43
14710,0.00,-0.00,0.97,-0.31,0.49,-0.43
14719,0.00,-0.01,0.97,-0.18,0.67,-0.37
14727,0.00,-0.00,0.97,-0.37,0.79,-0.24
14736,0.00,-0.01,0.97,-0.18,0.67,-0.24
14745,0.00,-0.01,0.97,-0.24,0.61,-0.49
14754,0.01,-0.01,0.97,-0.24,0.49,-0.37
14762,0.00,-0.00,0.97,-0.43,0.67,-0.55
14771,0.00,-0.01,0.97,-0.31,0.79,-0.43
14779,0.01,-0.01,0.97,-0.06,0.85,-0.31
14788,0.00,-0.01,0.97,-0.18,0.67,-0.37
14797,0.00,-0.01,0.97,-0.37,0.67,-0.43
14805,0.00,-0.01,0.97,-0.43,0.55,-0.37
14814,0.00,-0.00,0.97,-0.37,0.67,-0.43
14823,0.01,-0.01,0.97,-0.49,0.55,-0.43
14831,0.00,-0.01,0.97,-0.55,0.55,-0.31
14840,0.00,-0.00,0.97,-0.61,0.49,-0.55
14849,0.00,-0.00,0.97,-0.43,0.49,-0.55
14858,0.00,-0.01,0.97,-0.18,0.61,-0.43
14866,0.00,-0.01,0.97,-0.06,0.79,-0.49
14875,0.00,-0.01,0.97,-0.31,0.67,-0.49
14884,0.00,-0.01,0.97,-0.37,0.55,-0.43
14893,0.01,-0.00,0.97,-0.37,0.49,-0.37
14901,0.00,-0.01,0.97,-0.24,0.49,-0.55
14910,0.00,-0.01,0.97,-0.49,0.61,-0.49
14918,0.00,-0.01,0.97,-0.31,0.55,-0.43
14927,0.00,-0.01,0.97,-0.31,0.61,-0.31
14936,0.00,-0.01,0.97,-0.31,0.55,-0.43
14945,0.00,-0.01,0.97,-0.49,0.55,-0.37
14953,0.00,-0.01,0.97,-0.43,0.67,-0.31
14962,0.00,-0.01,0.97,-0.18,0.85,-0.37
14971,0.00,-0.01,0.97,-0.31,0.79,-0.18
14979,0.00,-0.01,0.97,-0.43,0.73,-0.24
14988,0.00,-0.01,0.97,-0.31,0.67,-0.49
14997,0.00,-0.01,0.97,-0.24,0.61,-0.49
15005,0.00,-0.01,0.97,-0.24,0.79,-0.55
15014,0.00,-0.01,0.97,-0.18,1.04,-0.31
15023,0.00,-0.00,0.97,-0.24,0.79,-0.31
15031,0.00,-0.01,0.97,-0.43,0.79,-0.24
15040,0.00,-0.01,0.97,-0.43,0.67,-0.31
15049,0.00,-0.01,0.97,-0.31,0.67,-0.43
15057,0.00,-0.00,0.97,-0.49,0.55,-0.31
15066,0.00,-0.01,0.97,-0.31,0.67,-0.43
15075,0.00,-0.01,0.97,-0.49,0.61,-0.55
15083,0.00,-0.00,0.97,-0.49,0.61,-0.49
15092,0.00,-0.00,0.97,-0.31,0.55,-0.37
15101,0.00,-0.01,0.97,-0.24,0.55,-0.49
15110,0.00,-0.01,0.97,-0.06,0.55,-0.43
15119,0.00,-0.01,0.97,-0.24,0.67,-0.43
15127,0.00,-0.01,0.98,-0.24,0.73,-0.37
15136,0.00,-0.01,0.98,-0.06,0.67,-0.31
15144,0.00,-0.01,0.97,-0.24,0.67,-0.31
15153,0.00,-0.01,0.98,-0.37,0.79,-0.31
15162,0.00,-0.00,0.98,-0.31,0.79,-0.37
15171,0.00,-0.01,0.98,-0.18,0.79,-0.37
15179,0.00,-0.01,0.98,-0.31,0.73,-0.31
15188,0.00,-0.01,0.97,-0.37,0.73,-0.24
15197,0.00,-0.01,0.97,-0.37,0.55,-0.24
15205,0.00,-0.01,0.97,-0.43,0.79,-0.37
15214,0.00,-0.00,0.98,-0.18,0.79,-0.31
15222,0.00,-0.01,0.98,-0.18,0.61,-0.31
