timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
63141,-0.00,0.01,0.89,-21.42,5.07,3.11
63149,0.03,0.00,1.10,-177.73,-66.65,-4.52
63161,0.01,-0.00,0.95,32.53,12.15,2.14
63170,-0.00,0.01,0.97,-19.84,-7.26,-1.71
63179,-0.01,0.01,0.97,-13.67,-3.97,-1.04
63187,-0.01,0.01,0.97,-2.56,-0.31,-0.31
63196,-0.01,0.01,0.97,-0.24,0.61,-0.06
63204,-0.00,0.01,0.97,0.18,0.79,-0.18
63213,-0.00,0.01,0.97,0.18,0.67,-0.12
63222,-0.01,0.01,0.97,0.12,0.73,-0.18
63231,-0.00,0.01,0.97,0.06,0.73,-0.12
63239,-0.01,0.01,0.97,-0.06,0.73,-0.06
63248,-0.00,0.01,0.97,0.18,0.92,-0.12
63257,-0.01,0.01,0.97,0.12,0.79,0.00
63266,-0.00,0.01,0.97,0.00,0.79,-0.18
63274,-0.01,0.01,0.97,0.18,0.98,-0.06
63283,-0.00,0.01,0.97,0.06,0.85,-0.06
63291,-0.01,0.01,0.97,0.24,0.85,-0.12
63300,-0.01,0.01,0.97,0.31,0.79,-0.24
63309,-0.01,0.01,0.97,0.06,0.73,-0.12
63318,-0.01,0.01,0.97,0.00,0.79,-0.12
63327,-0.00,0.01,0.97,0.06,0.79,-0.06
63335,-0.00,0.01,0.97,0.12,0.92,-0.12
63344,-0.00,0.01,0.97,0.18,1.04,-0.06
63352,-0.01,0.01,0.97,0.00,0.67,-0.06
63361,-0.01,0.01,0.97,0.12,0.85,-0.06
63370,-0.01,0.01,0.97,0.00,0.67,-0.06
63379,-0.00,0.01,0.97,0.12,0.67,-0.12
63387,-0.01,0.01,0.97,0.18,0.73,-0.24
63396,-0.01,0.01,0.97,0.12,0.98,-0.18
63404,-0.01,0.01,0.97,0.12,0.85,-0.06
63413,-0.01,0.01,0.97,0.00,0.85,0.00
63422,-0.00,0.01,0.97,0.00,0.79,-0.18
63430,-0.01,0.01,0.97,0.18,0.92,-0.24
63439,-0.01,0.01,0.97,0.18,0.73,-0.12
63448,-0.01,0.01,0.97,0.12,0.92,-0.06
63457,-0.01,0.01,0.97,0.12,0.85,0.06
63465,-0.01,0.01,0.97,0.18,0.85,-0.06
63474,-0.00,0.01,0.97,0.06,0.92,-0.06
63483,-0.00,0.01,0.97,0.00,0.79,0.00
63492,-0.01,0.01,0.97,0.18,1.04,0.00
63500,-0.01,0.01,0.97,0.18,0.79,0.06
63509,-0.00,0.01,0.97,0.31,0.55,0.06
63518,-0.00,0.01,0.97,0.00,0.92,-0.06
63526,-0.01,0.01,0.97,0.12,0.98,-0.12
63535,-0.00,0.01,0.97,-0.06,0.92,-0.24
63543,-0.01,0.01,0.97,0.00,0.92,-0.12
63552,-0.01,0.01,0.97,-0.18,0.85,-0.12
63561,-0.01,0.01,0.97,0.06,0.85,-0.06
63570,-0.01,0.01,0.97,-0.06,0.79,-0.12
63578,-0.00,0.01,0.97,0.18,0.79,-0.06
63587,-0.01,0.01,0.97,0.24,0.85,-0.06
63596,-0.00,0.01,0.97,0.06,0.79,-0.18
63604,-0.00,0.01,0.97,0.18,0.79,-0.18
63613,-0.01,0.01,0.97,0.24,0.85,-0.24
