timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
95286,-0.00,0.01,0.98,-0.12,0.79,0.06
95294,-0.00,0.01,0.98,-0.06,0.73,0.06
95303,-0.00,0.01,0.98,-0.06,0.73,0.12
95312,-0.00,0.01,0.98,-0.18,0.67,0.12
95321,-0.00,0.01,0.98,-0.24,0.55,0.12
95329,-0.00,0.01,0.98,-0.24,0.55,0.12
95338,-0.00,0.01,0.99,-0.31,0.73,0.12
95346,-0.00,0.01,0.99,-0.24,0.73,0.06
95355,-0.00,0.01,0.98,-0.24,0.61,0.06
95364,-0.00,0.01,0.98,-0.37,0.79,0.12
95373,-0.00,0.01,0.98,-0.12,0.67,0.12
95382,-0.00,0.01,0.98,-0.24,0.79,0.12
95390,-0.00,0.01,0.99,-0.18,0.73,0.18
95399,-0.00,0.01,0.98,-0.37,0.79,0.18
95407,-0.00,0.01,0.99,-0.37,0.55,0.12
95416,-0.00,0.01,0.99,-0.31,0.73,0.12
95425,-0.00,0.01,0.99,0.00,0.67,0.00
95434,-0.00,0.01,0.98,-0.31,0.73,0.00
95442,-0.00,0.01,0.98,-0.31,0.61,-0.06
95451,-0.00,0.01,0.98,0.12,0.67,0.00
95460,-0.00,0.01,0.98,0.06,0.67,0.12
95468,-0.00,0.01,0.98,-0.12,0.73,0.31
95477,-0.00,0.01,0.98,-0.18,0.73,0.31
95486,-0.00,0.01,0.98,-0.49,0.85,0.18
95494,-0.00,0.01,0.98,-0.24,0.85,0.12
95503,-0.00,0.01,0.98,-0.18,0.85,0.31
95512,-0.00,0.01,0.99,-0.18,0.67,0.24
95520,-0.00,0.01,0.99,-0.06,0.85,0.06
95529,-0.00,0.01,0.99,-0.18,0.79,0.06
95538,-0.00,0.01,0.99,-0.06,0.73,0.12
95546,-0.00,0.01,0.98,0.31,0.55,0.18
95555,-0.00,0.01,0.98,0.12,0.55,0.06
95564,-0.00,0.01,0.99,0.12,0.67,0.12
95573,-0.00,0.01,0.99,0.00,0.67,0.12
95581,-0.00,0.01,0.99,-0.12,0.61,0.12
95590,-0.00,0.01,0.99,-0.06,0.67,0.12
95598,-0.00,0.01,0.99,0.37,0.67,0.06
95607,-0.00,0.01,0.99,-0.06,0.61,0.00
95616,-0.00,0.01,0.99,0.31,0.73,0.06
95625,-0.00,0.01,0.99,0.24,0.67,0.12
95633,-0.00,0.01,0.99,0.18,0.73,0.06
95642,-0.00,0.01,0.99,0.37,0.67,0.24
95650,-0.00,0.01,0.99,0.37,0.67,0.18
95659,-0.00,0.01,0.99,0.24,0.55,0.12
95668,-0.00,0.01,0.99,0.24,0.79,0.31
95676,-0.00,0.01,0.98,0.49,0.73,0.24
95685,-0.00,0.01,1.00,0.24,0.92,0.18
95694,-0.00,0.01,0.97,0.12,0.79,0.37
95703,-0.00,0.01,0.97,0.24,1.04,0.31
95711,-0.00,0.01,0.98,0.18,0.92,0.24
95720,-0.00,0.01,0.98,0.24,0.85,0.18
95729,0.00,0.01,0.99,0.24,0.79,0.12
95738,-0.00,0.01,0.97,-0.06,0.79,0.00
95746,-0.00,0.01,0.98,-0.06,1.04,0.12
95755,-0.00,0.01,1.00,0.06,0.85,0.00
95764,-0.00,0.01,0.98,0.00,0.67,0.06
95772,-0.00,0.01,0.98,0.00,0.55,0.06
95781,-0.00,0.01,0.98,0.00,0.73,0.18
95790,-0.00,0.01,0.99,-0.06,0.73,0.18
95798,-0.00,0.01,1.00,-0.06,0.67,0.12
95807,-0.00,0.01,1.00,0.12,0.85,0.12
95816,-0.00,0.01,0.96,0.06,0.98,0.18
95824,-0.00,0.01,0.97,-0.12,0.92,0.06
95833,-0.00,0.01,1.00,-0.24,0.73,-0.06
95842,-0.00,0.01,0.98,0.18,0.73,0.12
95850,-0.00,0.01,0.99,0.06,0.85,0.06
95859,-0.00,0.01,1.01,0.00,0.73,0.06
95868,-0.00,0.01,0.99,0.18,0.79,0.12
95876,-0.00,0.01,0.94,0.43,0.73,0.00
95885,-0.00,0.01,0.95,0.06,0.73,0.12
95894,-0.00,0.01,1.01,-0.31,0.85,0.12
95902,-0.00,0.01,1.01,-0.37,0.73,-0.06
95911,-0.00,0.01,0.96,-0.18,0.55,-0.06
95920,-0.00,0.01,0.96,-0.37,0.49,0.00
95928,0.00,0.01,1.00,-0.49,0.61,0.00
95937,-0.00,0.01,1.00,-0.55,0.55,0.00
95946,-0.00,0.01,0.97,-0.12,0.61,0.18
95955,-0.00,0.01,0.97,-0.18,0.61,0.06
95963,-0.00,0.01,1.00,-0.49,0.92,0.06
95972,-0.00,0.01,1.00,-0.31,0.85,0.18
95981,-0.00,0.01,0.97,-0.12,0.67,0.18
95989,-0.00,0.01,0.97,0.00,0.67,0.00
95998,-0.00,0.01,1.00,-0.18,0.85,0.12
96007,-0.00,0.01,0.99,-0.18,0.79,0.12
96015,-0.00,0.01,0.97,-0.18,0.85,0.18
96024,-0.00,0.01,0.98,-0.12,0.98,0.00
96033,-0.00,0.01,0.99,-0.43,0.92,0.06
96042,-0.00,0.01,0.99,-0.37,0.85,0.24
96050,-0.00,0.01,0.98,-0.31,0.79,-0.06
96059,-0.00,0.01,0.99,-0.24,0.67,-0.06
96067,-0.00,0.01,0.99,-0.18,0.61,0.18
96076,-0.00,0.01,0.97,0.06,0.49,0.12
96085,-0.00,0.01,0.97,-0.12,0.79,0.06
96094,-0.00,0.01,0.99,-0.06,0.85,0.24
96102,-0.00,0.01,0.99,-0.31,0.73,0.31
96111,-0.00,0.01,0.98,-0.37,0.73,0.18
96120,-0.00,0.01,0.98,-0.24,0.67,0.00
96128,-0.00,0.01,0.99,-0.37,0.67,-0.06
96137,-0.00,0.01,0.99,0.06,0.92,0.18
96146,-0.00,0.01,0.98,-0.12,0.85,0.12
96154,-0.00,0.01,0.98,-0.24,0.79,0.06
96163,-0.00,0.01,0.99,-0.43,0.67,0.12
96172,-0.00,0.01,0.99,-0.37,0.67,0.06
96181,-0.00,0.01,0.99,-0.31,0.55,0.06
96189,-0.00,0.01,0.99,-0.31,0.73,0.06
96198,-0.00,0.01,0.99,-0.31,0.55,0.18
96207,-0.00,0.01,0.98,-0.24,0.61,0.18
96215,-0.00,0.01,0.98,-0.24,0.67,0.12
96224,-0.00,0.01,0.98,-0.37,0.92,0.12
96233,-0.00,0.01,0.99,-0.37,0.79,0.12
96242,-0.00,0.01,0.99,-0.31,0.67,0.12
96250,-0.00,0.01,0.98,-0.31,0.79,0.18
96259,-0.00,0.01,0.99,-0.18,0.61,0.12
96267,-0.00,0.01,0.99,-0.06,0.67,0.06
96276,-0.00,0.01,0.98,-0.37,0.67,0.00
96285,-0.00,0.01,0.98,-0.12,0.73,0.00
96293,-0.00,0.01,0.98,0.00,0.73,0.06
96302,-0.00,0.01,0.98,-0.18,0.73,0.00
96311,-0.00,0.01,0.98,-0.12,0.79,0.06
96320,-0.00,0.01,0.98,-0.18,0.73,0.06
96328,-0.00,0.01,0.97,-0.43,0.73,0.18
96337,-0.00,0.01,0.96,-0.24,0.79,0.24
96346,-0.00,0.01,0.97,-0.73,0.67,0.18
96354,-0.00,0.01,1.02,-0.92,0.61,0.00
96363,-0.00,0.02,1.03,-0.55,0.61,0.18
96372,-0.00,0.01,0.98,-0.06,0.67,0.31
96380,-0.00,0.01,0.94,0.24,0.67,0.24
96389,0.00,0.01,0.98,-0.18,0.85,0.12
96398,-0.00,0.01,1.00,-0.37,0.73,0.00
96406,-0.00,0.01,0.97,-0.24,0.61,0.06
96415,-0.00,0.01,0.96,-0.31,0.67,0.12
96424,-0.00,0.01,0.99,-0.73,0.85,0.12
96433,-0.00,0.01,1.00,-0.61,0.73,0.18
96441,-0.00,0.01,0.99,-0.31,0.73,0.12
